issue_key,issue_type,source_sheet,source_row,reference_value,details,resolved
0fc00f1f0d4c84c332c3aa8d6fcc14b0e4f120dd59da8986a6a9935271cc9baf,price_component_zero_price,3번) 세트분리 (RAW누적),2140,ACONE 실리콘패드,"{""price_rule_key"":""3652189ea745e08f8b94a18ac13a02612f3db1e5f9f40e441978712ef614d04b""}",false
42d929a09233a4ed04893906369265d81ee47b23ea412f3cacce974e57723aaa,price_component_missing_item,3번) 세트분리 (RAW누적),2343,QA-Custumpouch_BE,"{""price_rule_key"":""24c927122b749ead633615eecf65e6956bbdfbbf0f20372920ef04f939bede52""}",false
3941d062ce33418f393c2b3007af2442f7f4687e42b803bb5bc6c2d93b91bfed,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2365,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: NEW 세이지민트 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(그린),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
1102d62d35e5d75b44cc5f765315b726ccbb77d1953fa9a19d381c4a99225f15,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2370,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: NEW 세이지민트 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(블루),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
705dcba2107e82ae974d40c01d1d4020eea3f3544f609b4bbc40d16d6a6b4e42,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2375,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: NEW 세이지민트 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(옐로우),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
7e76aef38819495fd843ceed3185451106137ce6467cfed6f2205d00698006b3,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2380,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: NEW 토마토레드 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(블루),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
51c3a231df65efdbb84ce4d0cd0506d3da02cc527eb204602c420fb5db1fc6e5,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2385,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: NEW 토마토레드 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(그린),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
e625b0e0ad74c0e453c6603b21ebac0207c5b7958742a077979b9fdf4e9afd38,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2390,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: NEW 토마토레드 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(블랙),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
cbe2f4c7561d49edfc807f7f3e5f8809518b51b3ac55ef67682a6fd9595e3479,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2395,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: NEW 토마토레드 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(옐로우),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
1d7227677b453ae7312af7317089f1f68259f60880ad671decb24b3d4e13326a,price_rule_amount_mismatch,3번) 세트분리 (RAW누적),2400,리큐엠 20000mAh 잔량표시 고속충전 대용량 보조배터리 QP2000C 단품세트/단품: 여행세트 / 색상: 베이지 / 구성품: 어댑터(블랙)+저울(블랙)+파우치(베이지),"{""total_price"":67200,""allocated_total"":66900,""variance"":-300}",false
