price_rule_key,source_channel,source_product_name,source_options,normalized_source,total_unit_price,item_type,main_product,set_name,component_count,allocated_total,allocation_variance,source_row,review_status,is_active
a3c66c9e5a2a08888d034504d7bbdaafb824036085fee6c1c08210df34347270,리큐엠_스마트스토어,SOMEONE,색상: SOMEONE_블루 + 휴대용 손난로_카키 / 선물포장: 패밀리 드로잉 포장지 / +1 특가: 선택안함,someone색상someone블루휴대용손난로카키선물포장패밀리드로잉포장지1특가선택안함,59800,세트,SOMEONE,썸원 + 손난로 증정,2,59800,0,55,confirmed,true
5e3679a0ce13ecff222095c0f05cd8305bf2a0d2d8473ca6265cfec45787a5b2,리큐엠_스마트스토어,SOMEONE,색상: SOMEONE_블루 + 휴대용 손난로_카키 / 선물포장: 패밀리 드로잉 포장지 / +1 특가: 선택안함,someone색상someone블루휴대용손난로카키선물포장패밀리드로잉포장지1특가선택안함,59300,세트,SOMEONE,썸원 + 손난로 증정 찜쿠폰,2,59300,0,57,confirmed,true
9b29aa1542cde9feec872681f5158d577a435bae3a1e96b4d50b8c2ae07ede94,리큐엠_스마트스토어,SOMEONE,색상: SOMEONE_핑크 + 휴대용 손난로_핑크 / 선물포장: 패밀리 플라워 포장지 / +1 특가: 선택안함,someone색상someone핑크휴대용손난로핑크선물포장패밀리플라워포장지1특가선택안함,59800,세트,SOMEONE,썸원 + 손난로 증정,2,59800,0,59,confirmed,true
d0c172df05caca3b2fa6ab80d8d2ce289e5ef7a48cdc63bc04ebc40b30667eb1,리큐엠_스마트스토어,SOMEONE,색상: SOMEONE_핑크 + 휴대용 손난로_핑크 / 선물포장: 패밀리 플라워 포장지 / +1 특가: 선택안함,someone색상someone핑크휴대용손난로핑크선물포장패밀리플라워포장지1특가선택안함,59300,세트,SOMEONE,썸원 + 손난로 증정 찜쿠폰,2,59300,0,61,confirmed,true
87fef450f022bf99f615ebd0686a9f6ad40166b2809228a2cc40401b0de95d11,리큐엠_스마트스토어,SOMEONE,색상: SOMEONE_블루 + 휴대용 손난로_카키 / 선물포장: 패밀리 플라워 포장지 / +1 특가: 선택안함,someone색상someone블루휴대용손난로카키선물포장패밀리플라워포장지1특가선택안함,59800,세트,SOMEONE,썸원 + 손난로 증정,2,59800,0,63,confirmed,true
07bdc9c63822b976b08515f110ba43cbce86f6b55812553afa22bcec6c51a27a,리큐엠_스마트스토어,SOMEONE,색상: SOMEONE_블루 + 휴대용 손난로_카키 / 선물포장: 패밀리 플라워 포장지 / +1 특가: 선택안함,someone색상someone블루휴대용손난로카키선물포장패밀리플라워포장지1특가선택안함,59300,세트,SOMEONE,썸원 + 손난로 증정 찜쿠폰,2,59300,0,65,confirmed,true
b89dfc133b679f77ce96f130b65da6e1a5328f9a9f5eba48d8f0462416e1d232,리큐엠_스마트스토어,QP5000A,세트선택: 너도나도세트 - 핑크 / 색상: 올리브그린,qp5000a세트선택너도나도세트핑크색상올리브그린,84900,세트,QP5000A,너도나도세트 변경,4,84900,0,67,confirmed,true
ffc9d35ae87acd2f5d28ac0f9714e8c24dc6530f35cfe0c69cac6d0b9c85115b,리큐엠_스마트스토어,QP5000A,세트선택: 너도나도세트 - 핑크 / 색상: 샌드베이지,qp5000a세트선택너도나도세트핑크색상샌드베이지,84900,세트,QP5000A,너도나도세트 변경,4,84900,0,71,confirmed,true
2f447b46d02dbd27d392ee057d7c06b52fe4bf3a54539058d07c39f165021eed,리큐엠_스마트스토어,QP5000A,세트선택: 너도나도세트 - 블루 / 색상: 올리브그린,qp5000a세트선택너도나도세트블루색상올리브그린,84900,세트,QP5000A,너도나도세트 변경,4,84900,0,75,confirmed,true
164613678c920baa98839f2ff6486e8ab3cd8fffa6e990b2f2d430af7d281552,리큐엠_스마트스토어,QP5000A,세트선택: 너도나도세트 - 블루 / 색상: 샌드베이지,qp5000a세트선택너도나도세트블루색상샌드베이지,84900,세트,QP5000A,너도나도세트 변경,4,84900,0,79,confirmed,true
bb63a7937b0114160f68fff8072b427fb72799c643bbfeea9c00e692c12d45c8,리큐엠_스마트스토어,QP5000A,세트선택: 너도나도세트 - 핑크 / 색상: 올리브그린,qp5000a세트선택너도나도세트핑크색상올리브그린,84400,세트,QP5000A,너도나도세트 변경,4,84400,0,83,confirmed,true
57a23e9b5711525864d3288ef2e21592bc23d0d487d3667841cb15a6ab6e3e1d,리큐엠_스마트스토어,QP5000A,세트선택: 너도나도세트 - 핑크 / 색상: 샌드베이지,qp5000a세트선택너도나도세트핑크색상샌드베이지,84400,세트,QP5000A,너도나도세트 변경,4,84400,0,87,confirmed,true
66694b5e76d9bcc40a32e757e0675042389c36f675da6d69155a70d391e2a13d,리큐엠_스마트스토어,QP5000A,세트선택: 너도나도세트 - 블루 / 색상: 올리브그린,qp5000a세트선택너도나도세트블루색상올리브그린,84400,세트,QP5000A,너도나도세트 변경,4,84400,0,91,confirmed,true
6cf0c9c9f1a9ad46aecd65cc2ef888ac459641bc8f6032d56df096e74f1e4e5a,리큐엠_스마트스토어,QP5000A,세트선택: 너도나도세트 - 블루 / 색상: 샌드베이지,qp5000a세트선택너도나도세트블루색상샌드베이지,84400,세트,QP5000A,너도나도세트 변경,4,84400,0,95,confirmed,true
e21cdd9771f9c0ab1e039e84eec1f8173b8bbd196da97dffc2b9d10a22e4bc59,리큐엠_스마트스토어,커스텀파우치,색상: 그린+벨크로1M,커스텀파우치색상그린벨크로1m,15900,세트,커스텀파우치,벨크로타이 1M 무료증정,2,15900,0,99,confirmed,true
